       D_1      total
    0.8122     0.8122
    0.8173     0.8173
    0.8579     0.8579
    0.7970     0.7970
    0.7970     0.7970
    0.8579     0.8579
    0.8883     0.8883
    0.7817     0.7817
    0.8223     0.8223
    0.8832     0.8832
    0.8782     0.8782
    0.8274     0.8274
    0.8579     0.8579
    0.8325     0.8325
    0.8071     0.8071
    0.7563     0.7563
    0.8731     0.8731
    0.8883     0.8883
    0.9086     0.9086
    0.8832     0.8832
    0.8426     0.8426
    0.8934     0.8934
    0.8274     0.8274
    0.8477     0.8477
    0.8832     0.8832
    0.8274     0.8274
    0.8629     0.8629
    0.8680     0.8680
    0.8122     0.8122
    0.8122     0.8122
    0.8883     0.8883
    0.8477     0.8477
    0.8020     0.8020
    0.8680     0.8680
    0.8122     0.8122
    0.8122     0.8122
    0.8680     0.8680
    0.8985     0.8985
    0.7716     0.7716
    0.8528     0.8528
    0.8832     0.8832
    0.8274     0.8274
    0.8579     0.8579
    0.7868     0.7868
    0.8782     0.8782
    0.8274     0.8274
    0.7665     0.7665
    0.8782     0.8782
    0.8325     0.8325
    0.9086     0.9086
    0.8122     0.8122
    0.8122     0.8122
    0.8477     0.8477
    0.8376     0.8376
    0.8731     0.8731
    0.8122     0.8122
    0.8071     0.8071
    0.9442     0.9442
    0.8782     0.8782
    0.8477     0.8477
    0.7970     0.7970
    0.8426     0.8426
    0.8173     0.8173
    0.8782     0.8782
    0.8579     0.8579
    0.8528     0.8528
    0.8528     0.8528
    0.8579     0.8579
    0.8173     0.8173
    0.8173     0.8173
    0.9137     0.9137
    0.8223     0.8223
    0.7665     0.7665
    0.8629     0.8629
    0.8020     0.8020
    0.8934     0.8934
    0.8122     0.8122
    0.8223     0.8223
    0.8477     0.8477
    0.8528     0.8528
    0.8173     0.8173
    0.8629     0.8629
    0.8274     0.8274
    0.9289     0.9289
    0.8985     0.8985
    0.8274     0.8274
    0.8223     0.8223
    0.8173     0.8173
    0.8376     0.8376
    0.8782     0.8782
    0.8731     0.8731
    0.9137     0.9137
    0.7868     0.7868
    0.8680     0.8680
    0.8934     0.8934
    0.8173     0.8173
    0.8731     0.8731
    0.8782     0.8782
    0.8680     0.8680
    0.9289     0.9289
    0.8731     0.8731
    0.8985     0.8985
    0.9086     0.9086
    0.8274     0.8274
    0.7970     0.7970
    0.8376     0.8376
    0.9036     0.9036
    0.8325     0.8325
    0.8629     0.8629
    0.8832     0.8832
    0.8934     0.8934
    0.8832     0.8832
    0.9036     0.9036
    0.8579     0.8579
    0.8985     0.8985
    0.8680     0.8680
    0.7817     0.7817
    0.8782     0.8782
    0.8934     0.8934
    0.8376     0.8376
    0.8883     0.8883
    0.9188     0.9188
    0.8579     0.8579
    0.8782     0.8782
    0.8223     0.8223
    0.8477     0.8477
    0.8934     0.8934
    0.8934     0.8934
    0.8782     0.8782
    0.8426     0.8426
    0.8629     0.8629
    0.8934     0.8934
    0.8782     0.8782
    0.8579     0.8579
    0.8883     0.8883
    0.9036     0.9036
    0.9391     0.9391
    0.8680     0.8680
    0.8629     0.8629
    0.8376     0.8376
    0.7868     0.7868
    0.8782     0.8782
    0.8426     0.8426
    0.8528     0.8528
    0.8782     0.8782
    0.8579     0.8579
    0.8477     0.8477
    0.7868     0.7868
    0.8579     0.8579
    0.8731     0.8731
    0.8173     0.8173
    0.8020     0.8020
    0.8579     0.8579
    0.8376     0.8376
    0.8223     0.8223
    0.8579     0.8579
    0.9086     0.9086
    0.7970     0.7970
    0.8223     0.8223
    0.8477     0.8477
    0.7817     0.7817
    0.8223     0.8223
    0.8477     0.8477
    0.8680     0.8680
    0.9137     0.9137
    0.9086     0.9086
    0.7970     0.7970
    0.8071     0.8071
    0.8629     0.8629
    0.8680     0.8680
    0.8528     0.8528
    0.7563     0.7563
    0.8832     0.8832
    0.8477     0.8477
    0.8477     0.8477
    0.9188     0.9188
    0.8325     0.8325
    0.8173     0.8173
    0.8477     0.8477
    0.8579     0.8579
    0.8528     0.8528
    0.8528     0.8528
    0.9188     0.9188
    0.8731     0.8731
    0.8376     0.8376
    0.9391     0.9391
    0.8680     0.8680
    0.8782     0.8782
    0.7970     0.7970
    0.8071     0.8071
    0.8579     0.8579
    0.8832     0.8832
    0.8680     0.8680
    0.8680     0.8680
    0.8985     0.8985
    0.9289     0.9289
    0.8020     0.8020
    0.8680     0.8680
    0.8782     0.8782
    0.8528     0.8528
    0.9137     0.9137
    0.8223     0.8223
    0.8731     0.8731
    0.8579     0.8579
    0.9086     0.9086
    0.8426     0.8426
    0.8376     0.8376
    0.7614     0.7614
    0.8528     0.8528
    0.8477     0.8477
    0.8426     0.8426
    0.7970     0.7970
    0.8477     0.8477
    0.8071     0.8071
    0.8883     0.8883
    0.8934     0.8934
    0.8477     0.8477
    0.8985     0.8985
    0.8832     0.8832
    0.8223     0.8223
    0.7868     0.7868
    0.8325     0.8325
    0.8274     0.8274
    0.8629     0.8629
    0.8325     0.8325
    0.8629     0.8629
    0.9340     0.9340
    0.8528     0.8528
    0.8426     0.8426
    0.9289     0.9289
    0.8274     0.8274
    0.8883     0.8883
    0.9036     0.9036
    0.9086     0.9086
    0.9086     0.9086
    0.9188     0.9188
    0.8782     0.8782
    0.8376     0.8376
    0.8832     0.8832
    0.8426     0.8426
    0.8528     0.8528
    0.8985     0.8985
    0.8883     0.8883
    0.8426     0.8426
    0.8883     0.8883
    0.9036     0.9036
    0.8883     0.8883
    0.8579     0.8579
    0.8629     0.8629
    0.7970     0.7970
    0.8223     0.8223
    0.7665     0.7665
    0.8122     0.8122
    0.8782     0.8782
    0.8832     0.8832
    0.8883     0.8883
    0.8579     0.8579
    0.8528     0.8528
    0.8680     0.8680
    0.8426     0.8426
    0.7766     0.7766
    0.8477     0.8477
    0.8325     0.8325
    0.8883     0.8883
    0.8579     0.8579
    0.8731     0.8731
    0.8832     0.8832
    0.8832     0.8832
    0.8680     0.8680
    0.8985     0.8985
    0.8934     0.8934
    0.8477     0.8477
    0.8477     0.8477
    0.8883     0.8883
    0.8629     0.8629
    0.8985     0.8985
    0.8629     0.8629
    0.8579     0.8579
    0.7665     0.7665
    0.9036     0.9036
    0.8731     0.8731
    0.8426     0.8426
    0.8680     0.8680
    0.9036     0.9036
    0.8782     0.8782
    0.8629     0.8629
    0.8782     0.8782
    0.8325     0.8325
    0.8325     0.8325
    0.8782     0.8782
    0.9340     0.9340
    0.8274     0.8274
    0.9036     0.9036
    0.8731     0.8731
    0.8832     0.8832
    0.8629     0.8629
    0.8629     0.8629
    0.8325     0.8325
    0.8426     0.8426
    0.8934     0.8934
    0.8629     0.8629
    0.8883     0.8883
    0.8731     0.8731
    0.8579     0.8579
    0.8274     0.8274
    0.9188     0.9188
    0.8579     0.8579
    0.8680     0.8680
    0.7817     0.7817
    0.8528     0.8528
    0.8579     0.8579
    0.7360     0.7360
    0.8528     0.8528
    0.9492     0.9492
    0.7817     0.7817
    0.8579     0.8579
    0.9086     0.9086
    0.8782     0.8782
    0.8528     0.8528
    0.8680     0.8680
    0.8477     0.8477
    0.8579     0.8579
    0.8426     0.8426
    0.8985     0.8985
    0.8426     0.8426
    0.8680     0.8680
    0.8883     0.8883
    0.8477     0.8477
    0.8782     0.8782
    0.8782     0.8782
    0.8426     0.8426
    0.8832     0.8832
    0.8274     0.8274
    0.7970     0.7970
    0.8985     0.8985
    0.9036     0.9036
    0.8528     0.8528
    0.9086     0.9086
    0.9239     0.9239
    0.8477     0.8477
    0.8173     0.8173
    0.8680     0.8680
    0.8274     0.8274
    0.8883     0.8883
    0.8122     0.8122
    0.8325     0.8325
    0.8934     0.8934
    0.8376     0.8376
    0.8376     0.8376
    0.9137     0.9137
    0.8477     0.8477
    0.8477     0.8477
    0.8680     0.8680
    0.8426     0.8426
    0.8426     0.8426
    0.8274     0.8274
    0.8426     0.8426
    0.9594     0.9594
    0.8173     0.8173
    0.9442     0.9442
    0.8477     0.8477
    0.8629     0.8629
    0.7665     0.7665
    0.8477     0.8477
    0.7919     0.7919
    0.8528     0.8528
    0.8579     0.8579
    0.8426     0.8426
    0.8629     0.8629
    0.8680     0.8680
    0.7919     0.7919
    0.8274     0.8274
    0.7716     0.7716
    0.8528     0.8528
    0.7868     0.7868
    0.8274     0.8274
    0.8376     0.8376
    0.8731     0.8731
    0.8985     0.8985
    0.8426     0.8426
    0.8782     0.8782
    0.8528     0.8528
    0.8680     0.8680
    0.8020     0.8020
    0.8376     0.8376
    0.8883     0.8883
    0.8680     0.8680
    0.8122     0.8122
    0.8782     0.8782
    0.8528     0.8528
    0.8680     0.8680
    0.8731     0.8731
    0.8274     0.8274
    0.8629     0.8629
    0.8477     0.8477
    0.8579     0.8579
    0.8731     0.8731
    0.8426     0.8426
    0.8579     0.8579
    0.8020     0.8020
    0.8426     0.8426
    0.8934     0.8934
    0.8426     0.8426
    0.8782     0.8782
    0.8883     0.8883
    0.8782     0.8782
    0.8883     0.8883
    0.8477     0.8477
    0.8528     0.8528
    0.8680     0.8680
    0.8782     0.8782
    0.8477     0.8477
    0.9086     0.9086
    0.9188     0.9188
    0.1929     0.1929
    0.1929     0.1929
    0.8223     0.8223
    0.8579     0.8579
    0.8122     0.8122
    0.8680     0.8680
    0.8274     0.8274
    0.8985     0.8985
    0.8528     0.8528
    0.8782     0.8782
    0.8782     0.8782
    0.8376     0.8376
    0.8325     0.8325
    0.8680     0.8680
    0.9036     0.9036
    0.8528     0.8528
    0.8782     0.8782
    0.8173     0.8173
    0.8173     0.8173
    0.8274     0.8274
    0.8629     0.8629
    0.8883     0.8883
    0.8832     0.8832
    0.8325     0.8325
    0.8274     0.8274
    0.9137     0.9137
    0.8832     0.8832
    0.9086     0.9086
    0.8426     0.8426
    0.8629     0.8629
    0.8629     0.8629
    0.8985     0.8985
    0.7563     0.7563
    0.8426     0.8426
    0.8579     0.8579
    0.8579     0.8579
    0.8528     0.8528
    0.8477     0.8477
    0.8680     0.8680
    0.8731     0.8731
    0.8528     0.8528
    0.8883     0.8883
    0.8579     0.8579
    0.8934     0.8934
    0.8477     0.8477
    0.8782     0.8782
    0.8934     0.8934
    0.8376     0.8376
    0.8274     0.8274
    0.8579     0.8579
    0.8782     0.8782
    0.8325     0.8325
    0.9086     0.9086
    0.8325     0.8325
    0.8883     0.8883
    0.8376     0.8376
    0.8325     0.8325
    0.8782     0.8782
    0.8274     0.8274
    0.9239     0.9239
    0.8274     0.8274
    0.8477     0.8477
    0.8376     0.8376
    0.7817     0.7817
    0.8680     0.8680
    0.9340     0.9340
    0.8883     0.8883
    0.8985     0.8985
    0.8173     0.8173
    0.8426     0.8426
    0.8579     0.8579
    0.8071     0.8071
    0.8426     0.8426
    0.7665     0.7665
    0.8122     0.8122
    0.8985     0.8985
    0.9188     0.9188
    0.8579     0.8579
    0.9036     0.9036
    0.8274     0.8274
    0.8020     0.8020
    0.8528     0.8528
    0.8376     0.8376
    0.8782     0.8782
    0.8680     0.8680
    0.8934     0.8934
    0.8173     0.8173
    0.8122     0.8122
    0.8426     0.8426
    0.9340     0.9340
    0.8223     0.8223
    0.8528     0.8528
    0.8223     0.8223
    0.9137     0.9137
    0.9036     0.9036
    0.9239     0.9239
    0.7868     0.7868
    0.8579     0.8579
    0.8782     0.8782
    0.8376     0.8376
    0.8680     0.8680
    0.9188     0.9188
    0.8832     0.8832
    0.8782     0.8782
    0.8782     0.8782
    0.8426     0.8426
    0.7919     0.7919
    0.8376     0.8376
    0.9036     0.9036
    0.7970     0.7970
    0.8782     0.8782
    0.8325     0.8325
    0.8528     0.8528
    0.8629     0.8629
    0.8426     0.8426
    0.8274     0.8274
    0.8883     0.8883
    0.8782     0.8782
    0.9086     0.9086
    0.8934     0.8934
    0.9137     0.9137
    0.7868     0.7868
    0.8325     0.8325
    0.8680     0.8680
    0.8223     0.8223
    0.9036     0.9036
    0.8629     0.8629
    0.8934     0.8934
    0.8731     0.8731
    0.8477     0.8477
    0.8629     0.8629
    0.8782     0.8782
    0.8680     0.8680
    0.8579     0.8579
    0.9340     0.9340
    0.8832     0.8832
    0.8629     0.8629
    0.8020     0.8020
    0.8477     0.8477
    0.8782     0.8782
    0.7919     0.7919
    0.7665     0.7665
    0.8629     0.8629
    0.8223     0.8223
    0.7868     0.7868
    0.7868     0.7868
    0.8325     0.8325
    0.7868     0.7868
    0.8173     0.8173
    0.8934     0.8934
    0.8629     0.8629
    0.8376     0.8376
    0.8426     0.8426
    0.8426     0.8426
    0.8071     0.8071
    0.8020     0.8020
    0.7868     0.7868
    0.8426     0.8426
    0.8579     0.8579
    0.7462     0.7462
    0.8528     0.8528
    0.9036     0.9036
    0.8832     0.8832
    0.8173     0.8173
    0.7107     0.7107
    0.8274     0.8274
    0.7817     0.7817
    0.7208     0.7208
    0.8528     0.8528
    0.8731     0.8731
    0.7563     0.7563
    0.7563     0.7563
    0.8782     0.8782
    0.8426     0.8426
    0.8426     0.8426
    0.8071     0.8071
    0.7462     0.7462
    0.7868     0.7868
    0.8629     0.8629
    0.8122     0.8122
    0.8325     0.8325
    0.8477     0.8477
    0.9137     0.9137
    0.9289     0.9289
    0.8579     0.8579
    0.8934     0.8934
    0.9239     0.9239
    0.8528     0.8528
    0.8071     0.8071
    0.8629     0.8629
    0.8731     0.8731
    0.8832     0.8832
    0.8426     0.8426
    0.8376     0.8376
    0.8782     0.8782
    0.7919     0.7919
    0.8579     0.8579
    0.8782     0.8782
    0.8680     0.8680
    0.8579     0.8579
    0.8731     0.8731
    0.8528     0.8528
    0.8883     0.8883
    0.8629     0.8629
    0.8883     0.8883
    0.8477     0.8477
    0.9036     0.9036
    0.9137     0.9137
    0.8680     0.8680
    0.8579     0.8579
    0.8782     0.8782
    0.8173     0.8173
    0.8629     0.8629
    0.8426     0.8426
    0.8985     0.8985
    0.8934     0.8934
    0.8883     0.8883
    0.8680     0.8680
    0.9086     0.9086
    0.8426     0.8426
    0.9086     0.9086
    0.8071     0.8071
    0.8832     0.8832
    0.8629     0.8629
    0.8223     0.8223
    0.8680     0.8680
    0.8832     0.8832
    0.8579     0.8579
    0.9137     0.9137
    0.8985     0.8985
    0.8477     0.8477
    0.8325     0.8325
    0.8680     0.8680
    0.8883     0.8883
    0.8528     0.8528
    0.9239     0.9239
    0.9391     0.9391
    0.8629     0.8629
    0.8528     0.8528
    0.8376     0.8376
    0.8173     0.8173
    0.8223     0.8223
    0.9036     0.9036
    0.8426     0.8426
    0.8731     0.8731
    0.8579     0.8579
    0.8528     0.8528
    0.9137     0.9137
    0.8731     0.8731
    0.8883     0.8883
    0.8680     0.8680
    0.8731     0.8731
    0.8173     0.8173
    0.8579     0.8579
    0.8680     0.8680
    0.7868     0.7868
    0.7868     0.7868
    0.8376     0.8376
    0.8934     0.8934
    0.8020     0.8020
    0.8579     0.8579
    0.8832     0.8832
    0.9086     0.9086
    0.8680     0.8680
    0.9086     0.9086
    0.8426     0.8426
    0.8274     0.8274
    0.8629     0.8629
    0.9188     0.9188
    0.8477     0.8477
    0.8426     0.8426
    0.9036     0.9036
    0.8782     0.8782
    0.8020     0.8020
    0.7970     0.7970
    0.9137     0.9137
    0.8477     0.8477
    0.8934     0.8934
    0.8629     0.8629
    0.8426     0.8426
    0.9188     0.9188
    0.9239     0.9239
    0.8173     0.8173
    0.8325     0.8325
    0.9137     0.9137
    0.8426     0.8426
    0.8376     0.8376
    0.8020     0.8020
    0.7766     0.7766
    0.8579     0.8579
    0.8782     0.8782
    0.8426     0.8426
    0.8528     0.8528
    0.8629     0.8629
    0.7970     0.7970
    0.8020     0.8020
    0.8071     0.8071
    0.8528     0.8528
    0.8985     0.8985
    0.9086     0.9086
    0.8426     0.8426
    0.8680     0.8680
    0.8579     0.8579
    0.8376     0.8376
    0.8173     0.8173
    0.9036     0.9036
    0.8883     0.8883
    0.8934     0.8934
    0.8680     0.8680
    0.8426     0.8426
    0.8122     0.8122
    0.8477     0.8477
    0.8528     0.8528
    0.9289     0.9289
    0.8731     0.8731
    0.8985     0.8985
    0.8832     0.8832
    0.7310     0.7310
    0.8426     0.8426
    0.8731     0.8731
    0.9188     0.9188
    0.8731     0.8731
    0.8832     0.8832
    0.8426     0.8426
    0.8223     0.8223
    0.8782     0.8782
    0.8376     0.8376
    0.8985     0.8985
    0.9239     0.9239
    0.9036     0.9036
    0.8376     0.8376
    0.8731     0.8731
    0.8528     0.8528
    0.8274     0.8274
    0.8528     0.8528
    0.8985     0.8985
    0.9036     0.9036
    0.9442     0.9442
    0.9239     0.9239
    0.8782     0.8782
    0.8883     0.8883
    0.8731     0.8731
    0.8680     0.8680
    0.9086     0.9086
    0.9137     0.9137
    0.8223     0.8223
    0.8629     0.8629
    0.8680     0.8680
    0.8934     0.8934
    0.8629     0.8629
    0.8579     0.8579
    0.8883     0.8883
    0.9036     0.9036
    0.8477     0.8477
    0.8680     0.8680
    0.8782     0.8782
    0.8629     0.8629
    0.9086     0.9086
    0.7970     0.7970
    0.8731     0.8731
